Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Hackney,10,2018,47.083333333333336,0.0,2.3333333333333335,2.3333333333333335,21.833333333333332,59.849781241666655
Hackney,10,2019,740.6666666666666,46.0,53.0,72.08333333333333,217.70833333333334,49.4640135125
Hackney,10,2020,495.9166666666667,90.41666666666667,31.75,26.5,151.0,49.943889078333335
Haringey,3,2018,48.583333333333336,0.25,0.25,6.333333333333333,13.75,19.630853968333337
Haringey,3,2019,1318.111111111111,141.22222222222223,76.55555555555556,121.44444444444444,445.55555555555554,49.85474388000001
Haringey,4,2018,404.125,20.958333333333332,28.416666666666668,13.833333333333334,118.16666666666667,22.70642516104167
Haringey,4,2019,355.0,20.75,21.791666666666668,7.895833333333333,97.41666666666667,28.793400710624994
Haringey,5,2018,342.4166666666667,18.666666666666668,8.63888888888889,9.166666666666666,78.55555555555556,29.633464296944446
Haringey,5,2019,523.7222222222222,17.88888888888889,15.38888888888889,15.055555555555555,130.16666666666666,18.80332012583333
Haringey,5,2020,482.4583333333333,55.645833333333336,34.666666666666664,41.5625,128.8125,16.62643775145833
Haringey,5,2021,433.1111111111111,49.05555555555556,32.888888888888886,23.38888888888889,103.88888888888889,25.964159478611116
Haringey,6,2018,706.1875,31.166666666666668,29.958333333333332,19.9375,179.83333333333334,19.26921881102083
Haringey,6,2019,474.5625,22.0625,27.9375,22.520833333333332,129.45833333333334,18.513254074312496
Haringey,6,2020,127.625,0.125,9.333333333333334,5.75,35.458333333333336,21.819205205666663
Haringey,6,2021,12.916666666666666,0.0,0.08333333333333333,0.8333333333333334,2.6666666666666665,30.368808668333333
Haringey,7,2018,556.4583333333334,16.3125,18.5,12.708333333333334,138.39583333333334,18.276451617083335
Haringey,7,2019,394.5833333333333,9.483333333333333,14.883333333333333,8.483333333333333,85.71666666666667,26.34980358760001
Haringey,7,2020,21.916666666666668,0.0,1.3333333333333333,0.4166666666666667,2.3333333333333335,16.208251261666668
Haringey,7,2021,425.3888888888889,28.75,36.111111111111114,23.27777777777778,103.38888888888889,42.233805302777775
Haringey,9,2018,584.8387096774194,14.129032258064516,18.096774193548388,32.0,171.70967741935485,31.40858408587097
Haringey,9,2019,299.1111111111111,9.402777777777779,12.194444444444445,9.916666666666666,77.70833333333333,24.615100830416665
Haringey,9,2020,214.60416666666666,9.6875,10.375,6.541666666666667,37.083333333333336,33.45968481025001
Haringey,9,2021,314.2708333333333,11.645833333333334,16.229166666666668,11.895833333333334,72.14583333333333,32.655172438333324
Haringey,10,2018,148.33333333333334,0.5,3.9444444444444446,0.5555555555555556,26.583333333333332,38.082191134166656
Haringey,10,2019,255.56666666666666,10.616666666666667,6.216666666666667,5.066666666666666,54.75,29.6509136289
Haringey,10,2020,1238.25,45.25,55.0,131.5,393.875,18.543338616375
